"","last_name, first_name","position","league","year","age","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","in_zone_percent","swing_percent","linedrives_percent","sprint_speed","double","triple","home_run"
"94","Henderson, Gunnar","SS","AL",2023,22,0.261,0.472,0.346,0.346,0.331,0.212,92,11.4,11.4,52,66.7,26.5,50.4,46.8,23.3,28.8,29,9,28
"95","Arozarena, Randy","LF","AL",2023,28,0.243,0.435,0.347,0.351,0.359,0.192,91.7,11.3,12.3,48.3,61,27.5,46.3,43,23.3,28.4,19,3,23
"96","Torkelson, Spencer","1B","AL",2023,23,0.253,0.487,0.326,0.352,0.333,0.234,91.8,17.1,14.1,50.9,67.5,23.6,51.4,46.2,24.5,27.4,34,1,31
"97","France, Ty","1B","AL",2023,28,0.27,0.42,0.315,0.342,0.354,0.151,87.5,13.7,6.8,38.6,74,33.3,48.7,53.2,26.5,25,32,0,12
"98","Abrams, CJ","SS","NL",2023,22,0.247,0.399,0.306,0.304,0.301,0.152,87.4,13.5,6.9,35.9,71.9,35.1,49.9,53.5,20.6,28.6,28,6,18
"99","Bogaerts, Xander","2B","NL",2023,30,0.255,0.401,0.343,0.318,0.325,0.146,87.6,7.9,6.1,34.6,59.1,25.2,51.4,42.6,21.1,27.7,31,2,19
"100","Benintendi, Andrew","LF","AL",2023,28,0.27,0.375,0.299,0.31,0.334,0.105,86.6,14.5,2.9,27,70.3,26.6,51,49,28.5,27.2,34,2,5
"101","Tovar, Ezequiel","2B","AL",2023,21,0.248,0.386,0.298,0.291,0.283,0.138,88,12.6,8.1,36.2,79.8,42,46.7,59.7,26.2,28.1,37,4,15
"102","Baez, Javier","SS","AL",2023,30,0.238,0.36,0.261,0.283,0.284,0.122,88,9.4,5.2,39.7,68.2,44,44.3,54.8,21.4,28.1,18,4,9
"103","Witt Jr., Bobby","SS","AL",2023,23,0.294,0.533,0.343,0.369,0.338,0.239,90.7,15.7,11.5,45.6,71,30.6,49.1,50.5,25.9,30.5,28,11,30
"104","Olson, Matt","1B","NL",2023,29,0.264,0.557,0.413,0.391,0.374,0.293,93.7,16.1,16.4,55.5,71.5,26,45.8,46.8,20.9,26.2,27,3,54
"105","Arcia, Orlando","SS","NL",2023,28,0.247,0.398,0.321,0.307,0.306,0.152,88.2,5.4,6.9,41.1,65.4,26.4,50.8,46.2,19.5,25.9,25,0,17
"106","Castellanos, Nick","RF","NL",2023,31,0.258,0.443,0.335,0.32,0.301,0.185,88.9,14.4,10.3,43.2,74.6,41,45.4,56.2,24.4,27.2,37,2,29
"107","Springer III, George","RF","AL",2023,33,0.264,0.422,0.32,0.332,0.335,0.158,88.3,12,7.7,39.9,73.3,23.1,52.2,49.3,22.4,27.8,25,1,21
"108","Alonso, Pete","1B","NL",2023,28,0.246,0.527,0.346,0.368,0.343,0.281,89.5,18.2,14.7,40.1,61.9,27.4,47.2,43.7,19,26,21,2,46
"109","Reynolds, Bryan","CF","NL",2023,28,0.28,0.49,0.338,0.36,0.346,0.211,90.9,10.9,11.1,47.3,73.1,25.8,45.7,47.4,24,27.7,31,5,24
"110","Ramirez, Jose","3B","AL",2023,30,0.299,0.48,0.346,0.359,0.373,0.182,90,18,7,40.4,67.2,28.2,47.2,46.6,26.3,27.8,36,5,24
"111","Anderson, Tim","SS","AL",2023,30,0.252,0.335,0.26,0.279,0.295,0.082,87.8,2,2.9,39.4,71.5,35.3,50.1,53.5,26.8,27.2,18,2,1
"112","McKinstry, Zach","LF","AL",2023,28,0.247,0.395,0.289,0.312,0.318,0.148,87.2,17.8,7.6,33.5,68.1,27.1,49.2,47.3,26.1,28.5,21,4,9
"113","Davis, J.D.","3B","NL",2023,30,0.244,0.411,0.321,0.323,0.325,0.167,91.1,7.8,9.6,45.2,79.1,26.5,50.6,53.1,23.1,25.7,23,1,18
"114","Soto, Juan","RF","NL",2023,24,0.284,0.538,0.395,0.408,0.42,0.254,93.2,6.7,13,55.3,57.8,16.6,46.7,35.8,18.9,26.8,32,1,35
"115","Ruiz, Keibert","C","NL",2023,24,0.274,0.425,0.31,0.322,0.321,0.15,87.4,15.3,5.8,31.9,66.6,36.5,48.5,51.1,26.1,25.1,24,0,18
"116","Bell, Josh","1B","NL",2023,30,0.263,0.457,0.323,0.345,0.341,0.194,90.1,9.3,10.1,43,70.8,27.8,46.3,47.7,21.4,25.9,28,0,22
